species,left_wing,right_wing,left_foretibia,right_foretibia,left_hindtibia,right_hindtibia,thorax,avg_left/right_wing,avg_left/right_foretibia,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax
Dsim,1.083,1.094,0.37,0.36,0.514,0.505,0.651,1.0885,0.365,,,,,,,,,,,,
Dsim,1.273,1.263,0.413,0.405,0.602,0.613,0.777,1.268,0.409,,,,,,,,,,,,
Dsim,1.189,1.188,0.43,0.443,0.584,0.577,0.736,1.1885,0.4365,,,,,,,,,,,,
Dsim,1.016,1.027,0.364,0.331,0.455,0.472,0.573,1.0215,0.3475,,,,,,,,,,,,
Dsim,1.099,1.08,0.344,0.355,0.508,0.486,0.639,1.0895,0.3495,,,,,,,,,,,,
Dsim,1.078,1.07,0.369,0.356,0.503,0.494,0.653,1.074,0.3625,,,,,,,,,,,,
Dsim,1.12,1.102,0.404,0.39,0.503,0.527,0.668,1.111,0.397,,,,,,,,,,,,
Dsim,1.252,1.258,0.41,0.429,0.604,0.588,0.774,1.255,0.4195,,,,,,,,,,,,
Dsim,1.228,1.232,0.417,0.422,0.598,0.583,0.769,1.23,0.4195,,,,,,,,,,,,
Dsim,1.212,1.218,0.417,0.415,0.575,0.571,0.754,1.215,0.416,,,,,,,,,,,,
Dsim,1.142,1.154,0.382,0.387,0.529,0.536,0.703,1.148,0.3845,,,,,,,,,,,,
Dsim,1.156,1.162,0.374,0.382,0.555,0.54,0.711,1.159,0.378,,,,,,,,,,,,
Dsim,1.208,1.214,0.428,0.391,0.564,0.549,0.754,1.211,0.4095,,,,,,,,,,,,
Dsim,1.119,1.129,0.386,0.359,0.518,0.534,0.66,1.124,0.3725,,,,,,,,,,,,
Dsim,1.074,1.08,0.362,0.366,0.489,0.503,0.651,1.077,0.364,,,,,,,,,,,,
Dsim,1.269,1.266,0.431,0.436,0.606,0.612,0.795,1.2675,0.4335,,,,,,,,,,,,
Dsim,1.278,1.269,0.455,0.457,0.593,0.594,0.823,1.2735,0.456,,,,,,,,,,,,
Dana,1.374,1.399,0.468,0.474,0.678,0.685,0.876,1.3865,0.471,,,,,,,,,,,,
Dana,1.53,1.525,0.514,0.53,0.737,0.77,0.975,1.5275,0.522,,,,,,,,,,,,
Dana,1.46,1.471,0.516,0.514,0.733,0.708,0.922,1.4655,0.515,,,,,,,,,,,,
Dana,1.434,1.443,0.485,0.508,0.696,0.709,0.953,1.4385,0.4965,,,,,,,,,,,,
Dana,1.505,1.506,0.517,0.52,0.713,0.729,0.916,1.5055,0.5185,,,,,,,,,,,,
Dana,1.505,1.5,0.521,0.535,0.736,0.738,0.964,1.5025,0.528,,,,,,,,,,,,
Dana,1.543,1.558,0.55,0.518,0.73,0.745,0.956,1.5505,0.534,,,,,,,,,,,,
Dana,1.561,1.554,0.53,0.547,0.794,0.752,0.945,1.5575,0.5385,,,,,,,,,,,,
Dana,1.506,1.5,0.527,0.523,0.727,0.761,0.972,1.503,0.525,,,,,,,,,,,,
Dana,1.412,1.409,0.474,0.479,0.69,0.689,0.844,1.4105,0.4765,,,,,,,,,,,,
Dana,1.519,1.509,0.553,0.526,0.745,0.726,0.98,1.514,0.5395,,,,,,,,,,,,
Dana,1.502,1.501,0.526,0.495,0.755,0.724,0.928,1.5015,0.5105,,,,,,,,,,,,
Dana,1.49,1.488,0.513,0.538,0.713,0.719,0.923,1.489,0.5255,,,,,,,,,,,,
Dana,1.524,1.526,0.509,0.549,0.747,0.737,0.94,1.525,0.529,,,,,,,,,,,,
Dana,1.535,1.534,0.51,0.533,0.743,0.727,0.946,1.5345,0.5215,,,,,,,,,,,,
Dana,1.505,1.505,0.505,0.486,0.713,0.703,0.953,1.505,0.4955,,,,,,,,,,,,
Dana,1.494,1.482,0.496,0.509,0.723,0.691,0.925,1.488,0.5025,,,,,,,,,,,,
Dana,1.464,1.442,0.524,0.501,0.722,0.688,0.942,1.453,0.5125,,,,,,,,,,,,
